path,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
"[0, 2, 3, 10, 9]",2.1853546250111828e-284,2.8233035159657693e-272,4.2721228531165945e-284,3.618186624537756e-250,5.992662203757603e-290,3.520145080043114e-223,5.458179001847163e-297,0.0,5.686001890990542e-225,0.0
"[0, 1, 5, 4, 8, 9]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 10]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 10]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 11]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 2, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 11, 12]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 2, 11, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 3, 10, 13]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 10, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 3, 10, 9, 14]",2.185354625009195e-284,2.8233035159670536e-272,4.2721228531165945e-284,3.618186624536111e-250,5.992662203757603e-290,3.520145080041513e-223,5.458179001847163e-297,0.0,5.686001890987957e-225,0.0
"[0, 1, 5, 4, 8, 9, 14]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 7, 15]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 10, 9, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 5, 7, 15, 16]",1374.943076762761,1500.5859058007359,1448.1447152056603,978.9247419584142,1305.8624049207945,1226.8296076917063,1419.801157832107,1137.6432597369717,813.3724518078275,1082.3531903319995
"[0, 2, 3, 10, 9, 16]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 5, 7, 6, 17]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 4, 5, 7, 6, 17]",7.558362682158512e-125,2.3287187086823867e-126,1.286613079598931e-126,3.789498217476574e-127,4.720021604686479e-129,8.761688241759828e-126,2.0990202984441667e-130,9.691748487603859e-126,6.2479497834170395e-127,1.7993031127999455e-127
"[0, 2, 3, 10, 9, 14, 18]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 5, 7, 15, 16, 18]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 7, 6, 17, 19]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 11, 12, 23, 20, 19]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 11, 12, 23, 20]",0.1,1.3862977508146338e-26,0.1,0.09981831120339289,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 7, 6, 17, 19, 20]",2.394829859692565e-81,0.1,6.973336497607954e-46,0.00018168879660710626,3.31511834719009e-46,5.0972234065970476e-42,1.4570777877422004e-91,2.516109718961512e-29,7.561789360612744e-127,5.1900806230678704e-98
"[0, 2, 3, 10, 9, 14, 21]",2.185354625010189e-284,2.8233035159657693e-272,4.2721228531185375e-284,3.618186624536111e-250,5.992662203760328e-290,3.5201450800399126e-223,5.458179001847163e-297,0.0,5.686001890987957e-225,0.0
"[0, 1, 5, 4, 8, 9, 14, 21]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 2, 3, 10, 13, 22]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 10, 13, 22]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 11, 12, 23]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[0, 1, 5, 4, 3, 2, 11, 12, 23]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 5, 4, 3, 2, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 2]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 5, 4, 3, 2]",4.536435528242527e-229,1.0982618893958215e-227,4.6721070957398524e-228,1.779765167594395e-226,2.8281966299341716e-225,1.0626798864877885e-228,4.1573092883709974e-223,1.762602996316353e-228,5.94749904709718e-227,3.8773301190922174e-226
"[1, 0, 2, 3]",6.49379864238755e-122,2.9714470436507303e-123,5.872382260473025e-123,1.7526477384175536e-124,9.697631269952095e-126,3.091183059603314e-122,7.439137334680226e-128,1.5879312803459138e-122,5.439243840394662e-124,8.108299207948724e-125
"[1, 5, 4, 3]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 5, 4]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 4]",3.531097071481335e-296,1.0330915489449164e-297,2.9465303823779877e-297,7.2046770540917e-299,2.3546226164861476e-300,1.3032258107166655e-296,2.072672527291616e-302,1.421114598751852e-296,1.7886089317299687e-298,3.572908832910622e-299
"[1, 5]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 4, 5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 7, 6]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 4, 5, 7, 6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 7]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 4, 5, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 4, 8]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 4, 8]",3.5310970714821376e-296,1.0330915489446815e-297,2.9465303823779877e-297,7.204677054093338e-299,2.35462261648588e-300,1.3032258107166655e-296,2.0726725272913807e-302,1.421114598751367e-296,1.788608931729562e-298,3.572908832911434e-299
"[1, 5, 4, 8, 9]",2055.477223108393,1948.1752773550581,1801.417047329662,1648.6135836443714,1901.6849771957513,1944.947587471306,1536.6316898769962,1831.5262240154154,1915.4580130186612,1630.3668845077768
"[1, 0, 2, 3, 10, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 2, 3, 10]",6.493798642390503e-122,2.9714470436507303e-123,5.872382260473025e-123,1.752647738417952e-124,9.697631269954302e-126,3.091183059601908e-122,7.439137334680226e-128,1.587931280346275e-122,5.4392438403958986e-124,8.108299207948724e-125
"[1, 5, 4, 3, 10]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 11]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 5, 4, 3, 2, 11]",4.536435528243558e-229,1.0982618893960713e-227,4.672107095740384e-228,1.779765167594395e-226,2.8281966299348146e-225,1.0626798864875466e-228,4.1573092883714704e-223,1.762602996316353e-228,5.947499047095826e-227,3.8773301190922174e-226
"[1, 0, 2, 11, 12]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 5, 4, 3, 2, 11, 12]",4.53643552824459e-229,1.0982618893958215e-227,4.672107095738259e-228,1.77976516759399e-226,2.8281966299335285e-225,1.0626798864875466e-228,4.1573092883714704e-223,1.7626029963159523e-228,5.94749904709718e-227,3.8773301190922174e-226
"[1, 0, 2, 3, 10, 13]",6.493798642390503e-122,2.9714470436514058e-123,5.87238226047169e-123,1.7526477384191474e-124,9.697631269947686e-126,3.091183059602611e-122,7.439137334681918e-128,1.5879312803466358e-122,5.439243840393425e-124,8.108299207943195e-125
"[1, 5, 4, 3, 10, 13]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 5, 4, 8, 9, 14]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 10, 9, 14]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 7, 15]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 10, 9, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 7, 15, 16]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 10, 9, 16]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 4, 8, 9, 14, 18]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 10, 9, 14, 18]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 7, 6, 17, 19]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 10, 9, 15, 17, 19]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 5, 4, 8, 9, 14, 21]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[1, 0, 2, 3, 4, 8, 9, 14, 21]",3.531097071481335e-296,1.0330915489451514e-297,2.9465303823773178e-297,7.204677054093338e-299,2.354622616484809e-300,1.3032258107166655e-296,2.0726725272913807e-302,1.4211145987516903e-296,1.7886089317299687e-298,3.572908832913872e-299
"[2, 0]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 3, 4, 5, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 0, 1]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 3, 4, 5, 1]",1.2528353592164867e-219,4.474314737175295e-220,9.817098642807452e-220,1.021821065608517e-219,6.115987529118756e-220,5.082171630936456e-220,7.997668448751613e-220,3.072082258669044e-219,5.975526768736135e-220,1.084780578736698e-220
"[2, 3]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 3, 4]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 3, 4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 0, 1, 5]",4.83044541402432e-226,1.5719714127467597e-224,2.838233921642579e-224,9.62922901592481e-224,7.752453070748192e-222,4.17644404693825e-225,1.7406535174309703e-220,3.753451321184548e-225,5.850367315164182e-224,2.0279446360166446e-223
"[2, 3, 4, 5]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 0, 1, 5, 7, 6]",4.83044541402432e-226,1.5719714127467597e-224,2.8382339216422567e-224,9.629229015923714e-224,7.752453070749074e-222,4.17644404693825e-225,1.7406535174315641e-220,3.753451321185401e-225,5.850367315164182e-224,2.027944636016414e-223
"[2, 3, 4, 5, 7, 6]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 0, 1, 5, 7]",4.83044541402432e-226,1.5719714127464024e-224,2.8382339216429017e-224,9.629229015928092e-224,7.752453070750837e-222,4.17644404693825e-225,1.7406535174311682e-220,3.753451321184548e-225,5.850367315165512e-224,2.027944636016414e-223
"[2, 3, 4, 5, 7]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 3, 4, 8]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 0, 1, 5, 4, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 3, 4, 8, 9]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 3, 10]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10]",6.793393897941356e-183,1.7143671371718726e-192,4.861780707124538e-171,5.4322228259760105e-242,4.628513770643608e-214,7.764499113306938e-187,4.163286710711953e-178,2.8286199723972373e-247,3.8036697976007414e-210,5.422106622043402e-239
"[2, 11]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 3, 10, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 11, 12]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 3, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 3, 10, 13]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 13]",6.7933938979436725e-183,1.7143671371718726e-192,4.861780707122879e-171,5.432222825978481e-242,4.628513770642029e-214,7.764499113305172e-187,4.1632867107124263e-178,2.8286199723969162e-247,3.803669797599444e-210,5.422106622040321e-239
"[2, 3, 10, 9, 14]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 9, 14]",6.7933938979436725e-183,1.7143671371734319e-192,4.861780707122879e-171,5.432222825978481e-242,4.628513770644134e-214,7.764499113301641e-187,4.1632867107105337e-178,2.828619972399489e-247,3.803669797597714e-210,5.422106622047718e-239
"[2, 3, 10, 9, 15]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 9, 15]",6.793393897946761e-183,1.7143671371726522e-192,4.861780707127301e-171,5.432222825978481e-242,4.628513770646239e-214,7.764499113301641e-187,4.1632867107124263e-178,2.8286199723982024e-247,3.803669797599444e-210,5.422106622045251e-239
"[2, 3, 10, 9, 16]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[2, 11, 10, 9, 16]",6.793393897946761e-183,1.714367137171093e-192,4.861780707122879e-171,5.432222825980951e-242,4.628513770646239e-214,7.764499113305172e-187,4.1632867107124263e-178,2.8286199723956298e-247,3.803669797601174e-210,5.422106622050183e-239
"[2, 3, 4, 8, 9, 14, 21]",588.1529204457884,180.35683375507284,484.3477184584997,508.98798261587615,258.646140845109,143.69977741782398,385.1029773238462,374.8341539283272,162.90585656310466,499.2748585991993
"[2, 11, 10, 9, 14, 21]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 3, 10, 13, 22]",861.4874205014851,426.5077678510023,1e-07,322.10766797486826,677.9661363550392,1e-07,613.6459903758516,257.8756471524268,395.5029469383547,381.8244160919511
"[2, 11, 10, 13, 22]",5.852423385590023e-179,7.31190900952621e-189,4.86178070712509e-177,1.749760626395777e-238,3.137975598148271e-210,7.764499113305172e-193,2.5547841968137486e-174,7.294322059298025e-244,1.504362614130311e-206,2.0702926949479052e-235
"[3, 2, 0]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 4, 5, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 2, 0, 1]",2.3513623444509544e-131,7.293691293740685e-131,2.7947563558564625e-131,3.0526884802893155e-131,4.484444735283562e-131,6.463650386962993e-131,3.866976349057583e-131,9.110734013660334e-132,5.413731510152925e-131,2.898148561084381e-130
"[3, 4, 5, 1]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 2]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 11, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4]",1273.6973776697366,1662.7896328286956,1431.315038851203,1446.4936436182072,1761.9478677815819,1450.9761415409866,1734.0506821279516,1405.9970469350428,1710.0418416210703,1690.7811073953783
"[3, 10, 9, 8, 4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 5]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 2, 0, 1, 5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 5, 7, 6]",1047.153237906302,1177.3082778946577,1217.9723707826745,1308.0799270961857,1183.5806641025774,1455.3396172674063,1149.1348110744593,738.4095489443821,1346.8252593765012,1252.097332553818
"[3, 2, 0, 1, 5, 7, 6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 5, 7]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 2, 0, 1, 5, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 8]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 9, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 10, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 8, 9]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 2, 11, 10]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 2, 11]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 11]",6.601406200215784e-237,4.466822473306502e-235,4.283536803603127e-250,2.4349585061519134e-227,6.484336159502357e-230,2.2695432675708013e-225,2.463197902804207e-276,3.844696118526477e-219,5.459317259499362e-238,1.7465915305745932e-253
"[3, 2, 11, 12]",1424.6564913354514,1677.3858564798861,2210.959742114622,1704.7076816905715,1701.9174411505367,1633.5540625730907,1819.8066954733185,1759.8594134288812,2003.4389735755947,1550.261974364148
"[3, 10, 11, 12]",9.40473619508165e-233,7.492584840129977e-231,9.470727426635015e-246,4.150892470034021e-223,1.1035804804142657e-225,3.70742162492569e-221,4.4825440357984225e-272,6.766124655962301e-215,1.0937408966796172e-233,2.707674434595037e-249
"[3, 10, 13]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 2, 11, 10, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 10, 9, 14]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 8, 9, 14]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 4, 5, 7, 15]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 9, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 10, 9, 16]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 8, 9, 16]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 9, 15, 17]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 5, 7, 6, 17]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 9, 14, 18]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 8, 9, 14, 18]",356.85420334691526,719.608977408165,594.4365117167405,379.48139404871625,643.1829088533755,547.9231442049435,685.6857062973157,595.7641092680592,524.1144919321373,604.6032593446577
"[3, 4, 5, 7, 6, 17, 19]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 9, 14, 18, 19]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 2, 11, 12, 23, 20]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 9, 14, 21, 20]",0.0,8.348718146592357e-290,0.0,5.04114302249237e-268,0.0,6.711748097261379e-283,0.0,0.0,0.0,0.0
"[3, 10, 9, 14, 21]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4, 8, 9, 14, 21]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 13, 22]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 2, 11, 10, 13, 22]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 2, 11, 12, 23]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[3, 10, 11, 12, 23]",6.601406200218786e-237,4.4668224733080245e-235,4.283536803603127e-250,2.4349585061519134e-227,6.48433615950383e-230,2.2695432675702854e-225,2.4631979028044866e-276,3.8446961185256024e-219,5.4593172595012236e-238,1.746591530574196e-253
"[4, 3, 2, 0]",487.78403741693796,319.4623311516056,622.6949212256382,787.2972144543057,884.1490268861909,810.9151866151162,753.3469684113159,883.5010152883251,519.5063009232987,611.0913316677675
"[4, 5, 1, 0]",2.6775153691573264e-215,8.842470675611206e-216,3.1162827329725e-215,4.4014952677748324e-215,5.70187983425146e-215,2.0881279161833436e-215,4.910293571997193e-215,7.603939259170187e-215,2.0485210212390335e-215,3.356281070281704e-216
"[4, 5, 1]",202.19800032888128,488.18373171806866,322.3455863717315,9.804116561814112,1e-07,255.14755587222788,15.070749046770345,165.4972447833838,244.44440331429087,732.3207874656404
"[4, 3, 2, 0, 1]",2.58527802018161e-302,1.237945412404968e-301,4.520248243913548e-302,1.2302994661895971e-303,1.0888406356296e-311,6.952871744022077e-302,1.6237324448788462e-303,1.3494025690525728e-302,4.3516471965218003e-302,9.352208368541318e-301
"[4, 3, 2]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 5, 1, 0, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 3]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 8, 9, 10, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 5]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 8, 7, 5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 5, 7, 6]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 8, 7, 6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 5, 7]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 8, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 8]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 5, 7, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 8, 9]",3139.1146182734706,3250.603424262089,2706.2174346850597,2998.6016048114107,3006.963029712516,2862.9362942673083,2811.7209215857624,2923.4290385189747,3004.3937572178143,3059.777973319291
"[4, 3, 10, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 3, 10]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 8, 9, 10]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6172133917506117e-306,0.0,0.0
"[4, 3, 2, 11]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 8, 9, 10, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 3, 2, 11, 12]",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"[4, 5, 1, 0, 2, 11, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 3, 10, 13]",213.97638156795284,648.718864238121,250.5319497679157,527.3495063890608,68.63687753542891,247.82967552868925,230.68072620920236,15.051803522860553,573.7882212325801,398.2987667405937
