link,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
"(11, 12, '0')",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"(12, 11, '0')",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"(12, 23, '0')",10.8,12.36,11.26,12.3,11.04,11.43,10.74,11.61,9.92,10.7
"(13, 10, '0')",4.15,4.15,4.09,4.13,4.13,4.24,4.21,4.09,4.25,4.09
"(13, 14, '0')",5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.0,5.01,5.01
"(13, 22, '0')",4.01,4.0,4.0,4.0,4.01,4.0,4.0,4.0,4.0,4.0
"(14, 9, '0')",6.4,6.4,6.53,6.51,6.39,6.42,6.55,6.3,6.55,6.49
"(14, 13, '0')",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"(14, 18, '0')",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"(14, 21, '0')",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"(15, 7, '0')",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"(15, 9, '0')",4.18,4.11,4.26,4.06,4.12,4.1,4.13,4.14,4.15,4.12
"(15, 16, '0')",3.57,3.29,3.34,3.01,3.37,3.38,3.35,3.0,2.99,3.03
"(15, 17, '0')",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"(16, 9, '0')",8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
"(16, 15, '0')",2.17,2.11,2.17,2.1,2.11,2.12,2.12,2.16,2.16,2.17
"(16, 18, '0')",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(17, 6, '0')",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(17, 15, '0')",3.01,3.0,3.01,3.0,3.01,3.01,3.01,3.0,3.01,3.0
"(17, 19, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(18, 14, '0')",3.02,3.01,3.02,3.02,3.01,3.01,3.02,3.01,3.02,3.02
"(18, 16, '0')",2.23,2.41,2.32,2.27,2.34,2.3,2.3,2.35,2.34,2.35
"(18, 19, '0')",4.36,4.27,4.46,4.31,4.43,4.35,4.52,4.43,4.47,4.44
"(19, 17, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(19, 18, '0')",4.01,4.03,4.01,4.02,4.06,4.01,4.02,4.03,4.03,4.02
"(19, 20, '0')",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.01,6.0
"(19, 21, '0')",5.21,5.35,5.18,5.16,5.19,5.21,5.3,5.29,5.25,5.22
"(20, 19, '0')",6.77,6.69,6.84,6.6,6.88,6.92,6.77,8.52,6.54,8.12
"(20, 21, '0')",2.17,2.23,2.19,2.12,2.11,2.16,2.12,2.22,2.13,2.22
"(20, 23, '0')",3.29,3.27,3.32,3.25,3.33,3.21,3.26,3.14,3.35,3.17
"(21, 14, '0')",4.31,4.57,4.48,4.24,4.27,4.73,4.53,4.22,4.35,4.4
"(21, 19, '0')",7.81,8.16,7.84,7.79,7.99,8.19,7.17,6.17,7.85,6.08
"(21, 20, '0')",2.04,2.05,2.07,2.05,2.04,2.04,2.1,2.24,2.04,2.29
"(21, 22, '0')",4.1,4.21,4.07,4.09,4.06,4.13,4.19,4.35,4.23,4.28
"(22, 13, '0')",4.14,4.15,4.09,4.13,4.13,4.23,4.21,4.08,4.24,4.09
"(22, 21, '0')",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"(22, 23, '0')",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"(23, 12, '0')",4.33,4.18,4.19,4.18,4.16,4.26,4.21,4.31,4.31,4.21
"(23, 20, '0')",4.56,5.38,4.88,4.8,5.05,4.85,4.27,4.91,4.36,4.24
"(23, 22, '0')",2.17,2.21,2.14,2.22,2.22,2.2,2.2,2.18,2.17,2.21
